timestamp_et,user,club,query,table_used,completeness,first_table_used,second_table_used,third_table_used,fourth_table_used,fifth_table_used,sixth_table_used,table_used_num,data_environment
"Apr 28, 2025, 1:31 AM",fcc6bdfa2478044844dd6c288090e1affc17cf29041028bade3db195fffd0909,Pip,SELECT count(distinct individual_id) FROM fulfillment_ptc.ptc_fan_uvof_plus,fan_uvof_plus,1,fan_uvof_plus,,,,,,1,gridiron
"Apr 28, 2025, 1:29 AM",fcc6bdfa2478044844dd6c288090e1affc17cf29041028bade3db195fffd0909,Pip,SELECT count(distinct nfl_fan_id) FROM fulfillment_ptc.ptc_fan_uvof_plus,fan_uvof_plus,1,fan_uvof_plus,,,,,,1,gridiron
"Apr 28, 2025, 1:28 AM",fcc6bdfa2478044844dd6c288090e1affc17cf29041028bade3db195fffd0909,Pip,SELECT count(distinct nfl_fan_id) FROM AwsDataCatalog.nfl_mart_xx.fan_unified_view_xx_vw,fan_unified_view,1,fan_unified_view,,,,,,1,legacy
"Apr 28, 2025, 1:28 AM",fcc6bdfa2478044844dd6c288090e1affc17cf29041028bade3db195fffd0909,Pip,SELECT count(distinct club_golden_record_id) FROM AwsDataCatalog.nfl_mart_xx.fan_unified_view_xx_vw,fan_unified_view,1,fan_unified_view,,,,,,1,legacy
"Apr 28, 2025, 1:26 AM",fcc6bdfa2478044844dd6c288090e1affc17cf29041028bade3db195fffd0909,Pip,SELECT count(distinct club_golden_record_id) FROM AwsDataCatalog.nfl_mart_xx.fan_id_mapping_xx_vw,fan_id_mapping,1,fan_id_mapping,,,,,,1,legacy
"Apr 28, 2025, 1:25 AM",fcc6bdfa2478044844dd6c288090e1affc17cf29041028bade3db195fffd0909,Pip,SELECT count(distinct nfl_fan_id) FROM AwsDataCatalog.nfl_mart_xx.fan_id_mapping_xx_vw,fan_id_mapping,1,fan_id_mapping,,,,,,1,legacy
"Apr 28, 2025, 1:24 AM",fcc6bdfa2478044844dd6c288090e1affc17cf29041028bade3db195fffd0909,Pip,SELECT count(distinct nfl_fan_id) FROM fulfillment_ptc.ptc_uvof,uvof,1,uvof,,,,,,1,gridiron
"Apr 28, 2025, 1:23 AM",fcc6bdfa2478044844dd6c288090e1affc17cf29041028bade3db195fffd0909,Pip,SELECT count(distinct club_golden_record_id) FROM fulfillment_ptc.ptc_uvof,uvof,1,uvof,,,,,,1,gridiron
"Apr 28, 2025, 1:22 AM",fcc6bdfa2478044844dd6c288090e1affc17cf29041028bade3db195fffd0909,Pip,SELECT count(distinct club_golden_record_id) FROM fulfillment_ptc.ptc_fan_uvof,fan_uvof,1,fan_uvof,,,,,,1,gridiron
"Apr 28, 2025, 1:22 AM",fcc6bdfa2478044844dd6c288090e1affc17cf29041028bade3db195fffd0909,Pip,SELECT count(distinct club_golden_record_id) FROM fulfillment_ptc.ptc_fan_uvof,fan_uvof,1,fan_uvof,,,,,,1,gridiron
"Apr 28, 2025, 1:21 AM",fcc6bdfa2478044844dd6c288090e1affc17cf29041028bade3db195fffd0909,Pip,SELECT count(distinct club_golden_record_id) FROM fulfillment_ptc.ptc_fan_uvof_plus,fan_uvof_plus,1,fan_uvof_plus,,,,,,1,gridiron
"Apr 28, 2025, 1:20 AM",fcc6bdfa2478044844dd6c288090e1affc17cf29041028bade3db195fffd0909,Pip,SELECT count(distinct club_golden_record_id) FROM fulfillment_ptc.ptc_mapping,mapping,1,mapping,,,,,,1,gridiron
"Apr 28, 2025, 1:20 AM",fcc6bdfa2478044844dd6c288090e1affc17cf29041028bade3db195fffd0909,Pip,SELECT count(distinct nfl_fan_id) FROM fulfillment_ptc.ptc_mapping,mapping,1,mapping,,,,,,1,gridiron
